商談ID,受注日,業界,獲得チャネル,商談金額,担当者,受注
D0001,2026-01-15,小売,紹介,1211000,佐藤,0
D0002,2026-02-05,医療,テレアポ,400000,田中,0
D0003,2026-02-19,IT,紹介,542000,高橋,1
D0004,2026-02-22,IT,紹介,2254000,佐藤,0
D0005,2026-02-04,建設,紹介,1279000,高橋,0
D0006,2026-06-24,金融,Web広告,357000,高橋,1
D0007,2026-01-30,小売,Web広告,292000,田中,0
D0008,2026-05-08,IT,Web広告,352000,鈴木,1
D0009,2026-04-16,金融,メルマガ,632000,田中,0
D0010,2026-04-20,製造,Web広告,411000,田中,0
D0011,2026-02-08,IT,Web広告,335000,高橋,1
D0012,2026-02-25,建設,メルマガ,1236000,高橋,1
D0013,2026-04-20,小売,Web広告,408000,高橋,0
D0014,2026-02-23,医療,Web広告,2213000,高橋,1
D0015,2026-05-05,小売,紹介,471000,佐藤,0
D0016,2026-01-08,医療,テレアポ,1544000,佐藤,0
D0017,2026-01-14,IT,展示会,568000,高橋,0
D0018,2026-05-12,製造,展示会,868000,佐藤,0
D0019,2026-04-22,IT,Web広告,266000,佐藤,0
D0020,2026-01-08,製造,紹介,243000,田中,1
D0021,2026-06-11,金融,紹介,610000,佐藤,0
D0022,2026-01-01,IT,展示会,884000,高橋,0
D0023,2026-06-21,小売,紹介,455000,佐藤,1
D0024,2026-05-12,金融,展示会,180000,鈴木,1
D0025,2026-06-27,金融,Web広告,171000,田中,0
D0026,2026-06-20,IT,テレアポ,163000,田中,0
D0027,2026-02-26,小売,展示会,128000,佐藤,1
D0028,2026-05-17,建設,展示会,478000,佐藤,1
D0029,2026-02-07,医療,Web広告,972000,高橋,0
D0030,2026-03-26,金融,メルマガ,438000,高橋,0
D0031,2026-02-13,建設,テレアポ,91000,鈴木,0
D0032,2026-03-29,金融,テレアポ,387000,高橋,0
D0033,2026-06-07,製造,展示会,395000,佐藤,0
D0034,2026-03-20,小売,展示会,1919000,鈴木,1
D0035,2026-01-17,製造,紹介,160000,高橋,0
D0036,2026-02-28,医療,Web広告,337000,田中,0
D0037,2026-05-22,建設,テレアポ,1460000,佐藤,0
D0038,2026-04-04,小売,メルマガ,606000,高橋,1
D0039,2026-04-11,IT,展示会,656000,佐藤,0
D0040,2026-03-19,製造,紹介,479000,高橋,0
D0041,2026-02-22,建設,展示会,557000,田中,1
D0042,2026-04-18,製造,Web広告,762000,佐藤,0
D0043,2026-04-24,製造,メルマガ,251000,高橋,0
D0044,2026-06-11,製造,メルマガ,818000,佐藤,0
D0045,2026-04-22,製造,メルマガ,169000,高橋,0
D0046,2026-06-29,小売,メルマガ,557000,鈴木,0
D0047,2026-05-29,小売,テレアポ,501000,佐藤,0
D0048,2026-01-15,IT,テレアポ,287000,鈴木,1
D0049,2026-03-12,製造,メルマガ,435000,高橋,0
